Query Paper,Num Matches,Max SBERT,Mean SBERT,Max Jaccard,Mean Jaccard,Max Overall,Mean Overall,Top Match
0706.3359_v1,5,0.7016082406044006,0.6471189975738525,0.1658291457286432,0.1586180255281576,0.7016082406044006,0.6471189975738525,1710.01791_v1
0902.0948_v1,5,1.0000001192092896,0.6308041572570801,1.0,0.3022300754511871,1.0000001192092896,0.6308041572570801,0902.0948_v2
1108.4417_v2,5,1.0000001192092896,0.6287348389625549,1.0,0.3153119219980646,1.0000001192092896,0.6287348389625549,1108.4417_v1
1311.3167_v2,5,1.0000001192092896,0.6863820791244507,1.0,0.3146835580539601,1.0000001192092896,0.6863820791244507,1311.3167_v1
1506.04293_v3,5,1.0000001192092896,0.6911848783493042,1.0,0.3249511047999983,1.0000001192092896,0.6911848783493042,1506.04293_v1
1611.00592_v1,5,0.6329889297485352,0.5930226683616638,0.16299559471365638,0.15237959139250057,0.6329889297485352,0.5930226683616638,0812.4512_v3
1805.11559_v1,5,1.0000001192092896,0.6584821701049804,1.0,0.32463513169395525,1.0000001192092896,0.6584821701049804,1805.11559_v3
2004.14192_v2,5,1.0,0.726369321346283,1.0,0.32839927794311363,1.0,0.726369321346283,2004.14192_v1
2111.06514_v2,5,1.0000001192092896,0.6746476650238037,1.0,0.32233704750558684,1.0000001192092896,0.6746476650238037,2111.06514_v1
2303.02837_v1,5,1.0,0.6391096234321594,1.0,0.3165869726128793,1.0,0.6391096234321594,2303.02837_v2
